hostname_nn,letter_nn,Event,ProposalCategory,ProposalID,Cycle,Observation,Status,ObservingMode,GratingGrism,Subarray,ReadoutPattern,Groups,StartTime,EndTime,Hours,LastName,ProprietaryPeriod,EquatorialCoordinates,sy_kmag,sy_dist,st_teff,st_mass,st_rad,st_logg,pl_orbper,pl_orbsmax,pl_orbincl,pl_massj,pl_radj,pl_g_SI,pl_dens_cgs,pl_Teq_K,pl_trandep,pl_trandur,pl_TSM_K,pl_ESM_3um,PlanWindow,st_met,spectrum,published
HAT-P-14,b,Transit,COM,1442,0,1,Executed,GTS,GRISMR+F322W2,SUBGRISM128,BRIGHT2,20,44683.24,44683.53,6.8,Schlawin,12,17 20 27.8813 +38 14 31.81,8.851,222.66,6600,1.386,1.499,4.25,4.6276665,0.061,83.5,2.28,1.2,44.88,2,1582.7,0.6,2.2,37.76,31.28,X,0.11,,
L 168-9,b,Transit,COM,1033,0,5,Executed,LRS,X,SLITLESSPRISM,FASTR1,9,44710.28,44710.51,4.97,Kendrew,0,23 20 6.8620 -60 03 56.63,7.082,25.15,3800,0.62,0.6,4.359,1.4015222,0.021,85.5,0.014,0.13,22.73,9.33,982.9,0.1,1.1,11.71,2.18,X,0.04,,
HAT-P-14,b,Transit,COM,1118,0,5,Executed,BOTS,G395H,SUB2048,NRSRAPID,20,44710.99,44711.29,6.83,Proffitt,6,17 20 27.8813 +38 14 31.81,8.851,222.66,6600,1.386,1.499,4.25,4.6276665,0.061,83.5,2.28,1.2,44.88,2,1582.7,0.6,2.2,37.76,31.28,X,0.11,,
HAT-P-14,b,Transit,COM,1541,0,1,Executed,SOSS,X,SUBSTRIP256,NISRAPID,6,44720.24,44720.56,7.07,Espinoza,12,17 20 27.8812 +38 14 31.81,8.851,222.66,6600,1.386,1.499,4.25,4.6276665,0.061,83.5,2.28,1.2,44.88,2,1582.7,0.6,2.2,37.76,31.28,X,0.11,,
HAT-P-18,b,Transit,COM,2734,0,1,Executed,SOSS,X,SUBSTRIP256,NISRAPID,9,44725.13,44725.5,8.18,Pontoppidan,12,17 05 23.1302 +33 00 44.37,10.234,161.4,4803,0.77,0.749,4.579,5.5080287,0.056,88.79,0.196,0.976,5.85,0.32,847.8,2.2,2.7,267.61,6.09,X,0.1,,
WASP-96,b,Transit,COM,2734,0,2,Executed,SOSS,X,SUBSTRIP256,NISRAPID,14,44733.11,44733.45,7.51,Pontoppidan,12,00 04 11.1377 -47 21 38.32,10.914,352.46,5540,1.06,1.05,4.42,3.4252566,0.045,85.6,0.485,1.225,9.17,0.4,1285.4,1.4,2.4,120.78,16.96,X,0.14,,
LTT 9779,b,PhaseC,GTO,1201,1,2,Executed,SOSS,X,SUBSTRIP256,NISRAPID,2,44749.01,44749.98,26.51,Lafreniere,12,23 54 40.5304 -37 37 41.61,8.016,80.44,5443,1.02,0.949,4.386,0.7920642,0.017,76.39,0.092,0.421,14.75,1.87,1973.2,0.1,0.5,184.25,33.89,X,0.27,,
WASP-39,b,Transit,ERS,1366,1,4,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,44752.59,44752.99,10.52,Meech,0,14 29 18.3955 -03 26 40.20,10.202,213.98,5326.6,0.918,1.013,4.389,4.0552804,0.049,87.76,0.28,1.279,4.85,0.2,1173.1,2.2,2.8,324.05,20.93,X,-0.03,,
TRAPPIST-1,c,Transit,GO,2420,1,1,Executed,BOTS,PRISM,SUB512S,NRSRAPID,3,44753.77,44754,6.25,Meech,0,23 06 30.3341 -05 02 36.46,10.296,-1,2559,0.09,0.118,5.24,2.421848,0.016,89.62,0.004,0.096,12.67,7.07,337.4,0.7,0.7,31.19,0,X,0.04,,
HAT-P-1,b,Eclipse,GTO,1201,1,4,Executed,SOSS,X,SUBSTRIP256,NISRAPID,4,44754.94,44755.26,8.37,Lafreniere,12,22 57 45.9200 +38 40 27.20,8.858,158.98,5980,1.133,1.142,4.382,4.4652991,0.055,85.9,0.527,1.297,8.89,0.37,1310.7,1.4,2.8,292.8,39.56,X,0.13,,
