hostname_nn,letter_nn,Event,ProposalCategory,ProposalID,Cycle,Observation,Status,ObservingMode,GratingGrism,Subarray,ReadoutPattern,Groups,StartTime,EndTime,Hours,LastName,ProprietaryPeriod,EquatorialCoordinates,sy_kmag,sy_dist,st_teff,st_mass,st_rad,st_logg,pl_orbper,pl_orbsmax,pl_orbincl,pl_massj,pl_radj,pl_g_SI,pl_dens_cgs,pl_Teq_K,pl_trandep,pl_trandur,pl_TSM_K,pl_ESM_3um,PlanWindow,st_met,spectrum,published,nasa_pl_name,pl_name,default_flag,hostname,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_dens,pl_denserr1,pl_denserr2,pl_eqt,pl_letter,pl_orbper_y,pl_orbsmax_y,pl_rade,pl_radeerr1,pl_radeerr2,pl_trandur_y,rowupdate,st_rad_y,st_teff_y,sy_dist_y,sy_jmag,sy_kmag_y
HAT-P-14,b,Transit,COM,1442,0,1,Executed,GTS,GRISMR+F322W2,SUBGRISM128,BRIGHT2,20,44683.24,44683.53,6.8,Schlawin,12,17 20 27.8813 +38 14 31.81,8.851,222.66,6600,1.386,1.499,4.25,4.6276665,0.061,83.5,2.28,1.2,44.88,2,1582.7,0.6,2.2,37.76,31.28,X,0.11,,,HAT-P-14 b,HAT-P-14 b,1,HAT-P-14,1093.3352,200.2329,-200.2329,1.88,0.29,-0.24,1581,b,4.62767,0.06062,15.91678,1.34508,-1.34508,2.306,25/4/2018,1.82,6600,222.663,9.094,8.851
L 168-9,b,Transit,COM,1033,0,5,Executed,LRS,X,SLITLESSPRISM,FASTR1,9,44710.28,44710.51,4.97,Kendrew,0,23 20 6.8620 -60 03 56.63,7.082,25.15,3800,0.62,0.6,4.359,1.4015222,0.021,85.5,0.014,0.13,22.73,9.33,982.9,0.1,1.1,11.71,2.18,X,0.04,,,L 168-9 b,L 168-9 b,1,L 168-9,4.07,0.45,-0.45,5.18,1.46,-1.46,998,b,1.40152604,0.0208,1.63,0.14,-0.14,1.02,30/8/2024,0.604,3842,25.1496,7.941,7.082
HAT-P-14,b,Transit,COM,1118,0,5,Executed,BOTS,G395H,SUB2048,NRSRAPID,20,44710.99,44711.29,6.83,Proffitt,6,17 20 27.8813 +38 14 31.81,8.851,222.66,6600,1.386,1.499,4.25,4.6276665,0.061,83.5,2.28,1.2,44.88,2,1582.7,0.6,2.2,37.76,31.28,X,0.11,,,HAT-P-14 b,HAT-P-14 b,1,HAT-P-14,1093.3352,200.2329,-200.2329,1.88,0.29,-0.24,1581,b,4.62767,0.06062,15.91678,1.34508,-1.34508,2.306,25/4/2018,1.82,6600,222.663,9.094,8.851
HAT-P-14,b,Transit,COM,1541,0,1,Executed,SOSS,X,SUBSTRIP256,NISRAPID,6,44720.24,44720.56,7.07,Espinoza,12,17 20 27.8812 +38 14 31.81,8.851,222.66,6600,1.386,1.499,4.25,4.6276665,0.061,83.5,2.28,1.2,44.88,2,1582.7,0.6,2.2,37.76,31.28,X,0.11,,,HAT-P-14 b,HAT-P-14 b,1,HAT-P-14,1093.3352,200.2329,-200.2329,1.88,0.29,-0.24,1581,b,4.62767,0.06062,15.91678,1.34508,-1.34508,2.306,25/4/2018,1.82,6600,222.663,9.094,8.851
HAT-P-18,b,Transit,COM,2734,0,1,Executed,SOSS,X,SUBSTRIP256,NISRAPID,9,44725.13,44725.5,8.18,Pontoppidan,12,17 05 23.1302 +33 00 44.37,10.234,161.4,4803,0.77,0.749,4.579,5.5080287,0.056,88.79,0.196,0.976,5.85,0.32,847.8,2.2,2.7,267.61,6.09,X,0.1,,,HAT-P-18 b,HAT-P-18 b,1,HAT-P-18,62.61,4.132,-4.132,0.25,0.04,-0.04,852,b,5.508023,0.0559,11.153,0.583,-0.583,2.7144,14/5/2014,0.749,4803,161.4,10.822,10.234
WASP-96,b,Transit,COM,2734,0,2,Executed,SOSS,X,SUBSTRIP256,NISRAPID,14,44733.11,44733.45,7.51,Pontoppidan,12,00 04 11.1377 -47 21 38.32,10.914,352.46,5540,1.06,1.05,4.42,3.4252566,0.045,85.6,0.485,1.225,9.17,0.4,1285.4,1.4,2.4,120.78,16.96,X,0.14,,,WASP-96 b,WASP-96 b,1,WASP-96,152.55,9.53,-9.53,0.37,0.05,-0.05,1285,b,3.4252602,0.0453,13.45,0.67,-0.67,2.4264,14/5/2014,1.05,5540,352.464,11.267,10.914
LTT 9779,b,PhaseC,GTO,1201,1,2,Executed,SOSS,X,SUBSTRIP256,NISRAPID,2,44749.01,44749.98,26.51,Lafreniere,12,23 54 40.5304 -37 37 41.61,8.016,80.44,5443,1.02,0.949,4.386,0.7920642,0.017,76.39,0.092,0.421,14.75,1.87,1973.2,0.1,0.5,184.25,33.89,X,0.27,,,LTT 9779 b,LTT 9779 b,1,LTT 9779,29.32,0.78,-0.81,1.536,0.123,-0.123,1978,b,0.792052,0.01679,4.72,0.23,-0.23,0.466,17/9/2020,0.949,5443,80.4373,8.446,8.016
WASP-39,b,Transit,ERS,1366,1,4,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,44752.59,44752.99,10.52,Meech,0,14 29 18.3955 -03 26 40.20,10.202,213.98,5326.6,0.918,1.013,4.389,4.0552804,0.049,87.76,0.28,1.279,4.85,0.2,1173.1,2.2,2.8,324.05,20.93,X,-0.03,,,WASP-39 b,WASP-39 b,1,WASP-39,89.31023,10.17056,-10.17056,0.167,0.023,-0.023,1166,b,4.0552941,0.04828,14.336311,0.44836,-0.44836,2.8063409,27/11/2019,0.939,5485,213.982,10.663,10.202
TRAPPIST-1,c,Transit,GO,2420,1,1,Executed,BOTS,PRISM,SUB512S,NRSRAPID,3,44753.77,44754,6.25,Meech,0,23 06 30.3341 -05 02 36.46,10.296,-1,2559,0.09,0.118,5.24,2.421848,0.016,89.62,0.004,0.096,12.67,7.07,337.4,0.7,0.7,31.19,0,X,0.04,,,TRAPPIST-1 c,TRAPPIST-1 c,1,TRAPPIST-1,1.308,0.056,-0.056,5.463993,0.220545,-0.237085,339.7,c,2.421937,0.0158,1.097,0.014,-0.012,0.7005,14/11/2022,0.1192,2566,,11.354,10.296
HAT-P-1,b,Eclipse,GTO,1201,1,4,Executed,SOSS,X,SUBSTRIP256,NISRAPID,4,44754.94,44755.26,8.37,Lafreniere,12,22 57 45.9200 +38 40 27.20,8.858,158.98,5980,1.133,1.142,4.382,4.4652991,0.055,85.9,0.527,1.297,8.89,0.37,1310.7,1.4,2.8,292.8,39.56,X,0.13,,,HAT-P-1 b,HAT-P-1 b,1,HAT-P-1,166.86075,6.03877,-6.03877,0.282,0.01,-0.009,1322,b,4.46529976,0.05561,14.784671,0.212971,-0.212971,2.85,8/9/2015,1.174,5980,158.979,9.156,8.858
HD 149026,b,Transit,GTO,1274,1,4,Executed,GTS,GRISMR+F322W2,SUBGRISM64,BRIGHT2,5,44756.99,44757.38,10.53,Lunine,12,16 30 29.6185 +38 20 50.31,6.819,75.86,6160,1.3,1.45,4.278,2.8758911,0.043,84.55,0.358,0.74,18.5,1.34,1722.3,0.3,3.2,167.42,45.46,X,0.36,,,HD 149026 b,HD 149026 b,1,HD 149026,120.7754,19.0698,-19.0698,0.75,0.089,-0.077,1602,b,2.87589,0.04364,8.29466,0.22418,-0.22418,3.14,25/4/2018,1.41,6179,75.8643,7.118,6.819
TRAPPIST-1,g,Transit,GO,2589,1,6,Executed,BOTS,PRISM,SUB512,NRSRAPID,6,44759.15,44759.41,6.71,Lim,0,23 06 30.3341 -05 02 36.46,10.296,-1,2559,0.089,0.119,5.24,12.35294,0.047,89.71,0.004,0.101,11.61,6.17,196.9,0.8,1.1,20.46,0,X,0.05,,,TRAPPIST-1 g,TRAPPIST-1 g,1,TRAPPIST-1,1.321,0.038,-0.038,5.055986,0.13784,-0.159895,197.3,g,12.352446,0.04683,1.129,0.015,-0.013,1.137,14/11/2022,0.1192,2566,,11.354,10.296
TRAPPIST-1,b,Transit,GO,2589,1,1,Executed,SOSS,X,SUBSTRIP256,NISRAPID,18,44760.53,44760.78,6.47,Lim,0,23 06 30.3341 -05 02 36.46,10.296,-1,2562.5,0.09,0.117,5.258,1.51087,0.012,89.53,0.003,0.1,9.15,4.92,393.5,0.8,0.6,53.26,0.02,X,0.04,,,TRAPPIST-1 b,TRAPPIST-1 b,1,TRAPPIST-1,1.374,0.069,-0.069,5.441939,0.264654,-0.275681,802.86,b,1.510826,0.01154,1.116,0.014,-0.012,0.601,14/11/2022,0.1192,2566,,11.354,10.296
TRAPPIST-1,b,Transit,GO,2589,1,2,Executed,SOSS,X,SUBSTRIP256,NISRAPID,18,44762.04,44762.29,6.47,Lim,0,23 06 30.3341 -05 02 36.46,10.296,-1,2562.5,0.09,0.117,5.258,1.51087,0.012,89.53,0.003,0.1,9.15,4.92,393.5,0.8,0.6,53.26,0.02,X,0.04,,,TRAPPIST-1 b,TRAPPIST-1 b,1,TRAPPIST-1,1.374,0.069,-0.069,5.441939,0.264654,-0.275681,802.86,b,1.510826,0.01154,1.116,0.014,-0.012,0.601,14/11/2022,0.1192,2566,,11.354,10.296
