CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
2.77381,0.02786,1.35298,0.00863,-0.00863,Schlawin et al. 2024,0.11632,0.00037,-0.00037,Calculated,0.2447,0.0029,-0.0029,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
2.80167,0.02785,1.34962,0.00618,-0.00618,Schlawin et al. 2024,0.11617,0.00027,-0.00027,Calculated,0.2444,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
2.82952,0.02785,1.35819,0.00488,-0.00488,Schlawin et al. 2024,0.11654,0.00021,-0.00021,Calculated,0.2452,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
2.8577,0.02852,1.35054,0.00488,-0.00488,Schlawin et al. 2024,0.11621,0.00021,-0.00021,Calculated,0.2445,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
2.88622,0.02852,1.35003,0.00482,-0.00482,Schlawin et al. 2024,0.11619,0.00021,-0.00021,Calculated,0.2445,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
2.91507,0.02919,1.35092,0.00518,-0.00518,Schlawin et al. 2024,0.11623,0.00022,-0.00022,Calculated,0.2445,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
2.94426,0.02918,1.34734,0.0043,-0.0043,Schlawin et al. 2024,0.11607,0.00019,-0.00019,Calculated,0.2442,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
2.97377,0.02985,1.34858,0.00451,-0.00451,Schlawin et al. 2024,0.11613,0.00019,-0.00019,Calculated,0.2443,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
3.00362,0.02984,1.35278,0.00415,-0.00415,Schlawin et al. 2024,0.11631,0.00018,-0.00018,Calculated,0.2447,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
3.0338,0.03051,1.34055,0.00413,-0.00413,Schlawin et al. 2024,0.11578,0.00018,-0.00018,Calculated,0.2436,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
3.06431,0.03051,1.34753,0.00413,-0.00413,Schlawin et al. 2024,0.11608,0.00018,-0.00018,Calculated,0.2442,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
3.09481,0.0305,1.34677,0.00378,-0.00378,Schlawin et al. 2024,0.11605,0.00016,-0.00016,Calculated,0.2442,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
3.12564,0.03117,1.35286,0.00409,-0.00409,Schlawin et al. 2024,0.11631,0.00018,-0.00018,Calculated,0.2447,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
3.1568,0.03116,1.3434,0.00355,-0.00355,Schlawin et al. 2024,0.11591,0.00015,-0.00015,Calculated,0.2438,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
3.18829,0.03182,1.35761,0.00351,-0.00351,Schlawin et al. 2024,0.11652,0.00015,-0.00015,Calculated,0.2451,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
3.22011,0.03181,1.34894,0.00383,-0.00383,Schlawin et al. 2024,0.11614,0.00016,-0.00016,Calculated,0.2444,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
3.25226,0.03248,1.34458,0.00344,-0.00344,Schlawin et al. 2024,0.11596,0.00015,-0.00015,Calculated,0.244,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
3.28507,0.03314,1.34404,0.00421,-0.00421,Schlawin et al. 2024,0.11593,0.00018,-0.00018,Calculated,0.2439,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
3.31786,0.03245,1.35063,0.00348,-0.00348,Schlawin et al. 2024,0.11622,0.00015,-0.00015,Calculated,0.2445,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
3.35099,0.03379,1.35156,0.00356,-0.00356,Schlawin et al. 2024,0.11626,0.00015,-0.00015,Calculated,0.2446,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
3.38477,0.03378,1.35429,0.0037,-0.0037,Schlawin et al. 2024,0.11637,0.00016,-0.00016,Calculated,0.2448,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
3.41854,0.03376,1.34295,0.0039,-0.0039,Schlawin et al. 2024,0.11589,0.00017,-0.00017,Calculated,0.2438,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
3.45264,0.03442,1.3457,0.0036,-0.0036,Schlawin et al. 2024,0.116,0.00015,-0.00016,Calculated,0.2441,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
3.48705,0.03441,1.35307,0.00399,-0.00399,Schlawin et al. 2024,0.11632,0.00017,-0.00017,Calculated,0.2447,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
3.52179,0.03507,1.35106,0.00368,-0.00368,Schlawin et al. 2024,0.11624,0.00016,-0.00016,Calculated,0.2445,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
3.55719,0.03572,1.35108,0.00421,-0.00421,Schlawin et al. 2024,0.11624,0.00018,-0.00018,Calculated,0.2445,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
3.59291,0.03571,1.34765,0.00339,-0.00339,Schlawin et al. 2024,0.11609,0.00015,-0.00015,Calculated,0.2442,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
3.6286,0.03569,1.35142,0.00325,-0.00325,Schlawin et al. 2024,0.11625,0.00014,-0.00014,Calculated,0.2446,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
3.66496,0.03702,1.3406,0.00345,-0.00345,Schlawin et al. 2024,0.11578,0.00015,-0.00015,Calculated,0.2436,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
3.84192,0.03826,1.34281,0.00361,-0.00361,Schlawin et al. 2024,0.11588,0.00016,-0.00016,Calculated,0.2438,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
3.88018,0.03824,1.33809,0.00372,-0.00372,Schlawin et al. 2024,0.11568,0.00016,-0.00016,Calculated,0.2434,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
3.91908,0.03956,1.34549,0.00365,-0.00365,Schlawin et al. 2024,0.116,0.00016,-0.00016,Calculated,0.244,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
3.95829,0.03887,1.34084,0.00354,-0.00354,Schlawin et al. 2024,0.11579,0.00015,-0.00015,Calculated,0.2436,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
3.99782,0.04019,1.34045,0.0036,-0.0036,Schlawin et al. 2024,0.11578,0.00016,-0.00016,Calculated,0.2436,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
4.038,0.04016,1.34924,0.00474,-0.00474,Schlawin et al. 2024,0.11616,0.0002,-0.0002,Calculated,0.2444,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
4.07848,0.0408,1.34243,0.00385,-0.00385,Schlawin et al. 2024,0.11586,0.00017,-0.00017,Calculated,0.2438,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
4.11927,0.04078,1.35677,0.00377,-0.00377,Schlawin et al. 2024,0.11648,0.00016,-0.00016,Calculated,0.2451,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
4.16037,0.04142,1.33841,0.0042,-0.0042,Schlawin et al. 2024,0.11569,0.00018,-0.00018,Calculated,0.2434,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
4.20177,0.04139,1.35287,0.00408,-0.00408,Schlawin et al. 2024,0.11631,0.00018,-0.00018,Calculated,0.2447,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
4.24381,0.04269,1.35465,0.00469,-0.00469,Schlawin et al. 2024,0.11639,0.0002,-0.0002,Calculated,0.2449,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
4.28649,0.04266,1.35458,0.00454,-0.00454,Schlawin et al. 2024,0.11639,0.0002,-0.0002,Calculated,0.2449,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
4.32913,0.04263,1.34953,0.0049,-0.0049,Schlawin et al. 2024,0.11617,0.00021,-0.00021,Calculated,0.2444,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
4.3724,0.04392,1.35421,0.00476,-0.00476,Schlawin et al. 2024,0.11637,0.0002,-0.0002,Calculated,0.2448,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
4.41631,0.04389,1.34816,0.00521,-0.00521,Schlawin et al. 2024,0.11611,0.00022,-0.00022,Calculated,0.2443,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
4.46051,0.04451,1.3496,0.00493,-0.00493,Schlawin et al. 2024,0.11617,0.00021,-0.00021,Calculated,0.2444,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
4.505,0.04447,1.34673,0.00526,-0.00526,Schlawin et al. 2024,0.11605,0.00023,-0.00023,Calculated,0.2442,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
4.54978,0.04509,1.34158,0.00627,-0.00627,Schlawin et al. 2024,0.11583,0.00027,-0.00027,Calculated,0.2437,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
4.59519,0.04571,1.34169,0.00662,-0.00662,Schlawin et al. 2024,0.11583,0.00029,-0.00029,Calculated,0.2437,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
4.64121,0.04633,1.34024,0.0061,-0.0061,Schlawin et al. 2024,0.11577,0.00026,-0.00026,Calculated,0.2436,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
4.68785,0.04694,1.35418,0.00561,-0.00561,Schlawin et al. 2024,0.11637,0.00024,-0.00024,Calculated,0.2448,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
4.73477,0.0469,1.3526,0.00605,-0.00605,Schlawin et al. 2024,0.1163,0.00026,-0.00026,Calculated,0.2447,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
4.78197,0.0475,1.3449,0.00549,-0.00549,Schlawin et al. 2024,0.11597,0.00024,-0.00024,Calculated,0.244,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
4.82977,0.04811,1.35132,0.00607,-0.00607,Schlawin et al. 2024,0.11625,0.00026,-0.00026,Calculated,0.2446,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
4.87818,0.04871,1.34008,0.0077,-0.0077,Schlawin et al. 2024,0.11576,0.00033,-0.00033,Calculated,0.2435,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
4.92687,0.04865,1.35205,0.00653,-0.00653,Schlawin et al. 2024,0.11628,0.00028,-0.00028,Calculated,0.2446,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
4.97615,0.04991,1.34378,0.00612,-0.00612,Schlawin et al. 2024,0.11592,0.00026,-0.00026,Calculated,0.2439,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
5.02602,0.04984,1.34336,0.00664,-0.00664,Schlawin et al. 2024,0.1159,0.00029,-0.00029,Calculated,0.2438,0.0028,-0.0028,Calculated,,,,0.2162,0.0025,-0.0024,Mahajan et al. 2024
