CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
3.897,0.015,0.5817,0.0067,-0.0067,Beatty et al. 2024,0.07627,0.00044,-0.00044,Calculated,0.406,0.0136,-0.0136,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
3.912,0.015,0.5851,0.0058,-0.0058,Beatty et al. 2024,0.07649,0.00038,-0.00038,Calculated,0.4072,0.0135,-0.0135,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
3.928,0.015,0.5828,0.0056,-0.0056,Beatty et al. 2024,0.07634,0.00037,-0.00037,Calculated,0.4064,0.0135,-0.0135,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
3.942,0.015,0.5815,0.0052,-0.0052,Beatty et al. 2024,0.07626,0.00034,-0.00034,Calculated,0.4059,0.0135,-0.0135,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
3.958,0.015,0.5924,0.0051,-0.0051,Beatty et al. 2024,0.07697,0.00033,-0.00033,Calculated,0.4097,0.0136,-0.0136,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
3.973,0.015,0.5916,0.0054,-0.0054,Beatty et al. 2024,0.07692,0.00035,-0.00035,Calculated,0.4094,0.0136,-0.0136,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
3.987,0.015,0.6041,0.0053,-0.0053,Beatty et al. 2024,0.07772,0.00034,-0.00034,Calculated,0.4137,0.0137,-0.0137,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.002,0.015,0.5921,0.0051,-0.0051,Beatty et al. 2024,0.07695,0.00033,-0.00033,Calculated,0.4096,0.0136,-0.0136,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.018,0.015,0.5913,0.0056,-0.0056,Beatty et al. 2024,0.0769,0.00036,-0.00036,Calculated,0.4093,0.0136,-0.0136,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.033,0.015,0.5887,0.0049,-0.0049,Beatty et al. 2024,0.07673,0.00032,-0.00032,Calculated,0.4084,0.0135,-0.0135,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.047,0.015,0.6003,0.0055,-0.0055,Beatty et al. 2024,0.07748,0.00035,-0.00036,Calculated,0.4124,0.0137,-0.0137,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.062,0.015,0.5906,0.0052,-0.0052,Beatty et al. 2024,0.07685,0.00034,-0.00034,Calculated,0.4091,0.0136,-0.0136,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
4.078,0.015,0.5981,0.0052,-0.0052,Beatty et al. 2024,0.07734,0.00034,-0.00034,Calculated,0.4117,0.0137,-0.0137,Calculated,,,,0.547,0.018,-0.018,Awiphan et al. 2016
