CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
0.6035,0.007,0.09917,0.02755,-0.02323,Piaulet-Ghorayeb et al. 2024,0.03149,0.00411,-0.00393,Calculated,0.1777,0.0245,-0.0245,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.6095,0.005,0.08141,0.02498,-0.02553,Piaulet-Ghorayeb et al. 2024,0.02853,0.00409,-0.00489,Calculated,0.161,0.0263,-0.0263,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.6155,0.007,0.09879,0.02422,-0.02533,Piaulet-Ghorayeb et al. 2024,0.03143,0.00364,-0.00433,Calculated,0.1774,0.0241,-0.0241,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.622,0.006,0.084,0.02081,-0.02195,Piaulet-Ghorayeb et al. 2024,0.02898,0.00339,-0.00407,Calculated,0.1636,0.0225,-0.0225,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.628,0.006,0.0936,0.01856,-0.01901,Piaulet-Ghorayeb et al. 2024,0.03059,0.0029,-0.00328,Calculated,0.1727,0.0195,-0.0195,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.634,0.006,0.09493,0.01925,-0.01895,Piaulet-Ghorayeb et al. 2024,0.03081,0.00298,-0.00325,Calculated,0.1739,0.0197,-0.0197,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.6405,0.007,0.11005,0.0121,-0.01332,Piaulet-Ghorayeb et al. 2024,0.03317,0.00178,-0.00207,Calculated,0.1872,0.0145,-0.0145,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.647,0.006,0.10581,0.01246,-0.01394,Piaulet-Ghorayeb et al. 2024,0.03253,0.00186,-0.00222,Calculated,0.1836,0.0149,-0.0149,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.6535,0.007,0.0767,0.01316,-0.0137,Piaulet-Ghorayeb et al. 2024,0.02769,0.00228,-0.00259,Calculated,0.1563,0.0159,-0.0159,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.66,0.006,0.11501,0.01552,-0.01673,Piaulet-Ghorayeb et al. 2024,0.03391,0.00222,-0.00256,Calculated,0.1914,0.0167,-0.0167,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.6665,0.007,0.11058,0.00992,-0.00991,Piaulet-Ghorayeb et al. 2024,0.03325,0.00146,-0.00153,Calculated,0.1877,0.0128,-0.0128,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.6735,0.007,0.10834,0.00882,-0.00818,Piaulet-Ghorayeb et al. 2024,0.03292,0.00131,-0.00127,Calculated,0.1858,0.0121,-0.0121,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.6805,0.007,0.08478,0.00886,-0.00982,Piaulet-Ghorayeb et al. 2024,0.02912,0.00148,-0.00174,Calculated,0.1643,0.0124,-0.0124,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.687,0.006,0.09464,0.00911,-0.00918,Piaulet-Ghorayeb et al. 2024,0.03076,0.00145,-0.00153,Calculated,0.1736,0.0123,-0.0123,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.6935,0.007,0.10031,0.00839,-0.00866,Piaulet-Ghorayeb et al. 2024,0.03167,0.0013,-0.0014,Calculated,0.1788,0.012,-0.012,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.7005,0.007,0.10188,0.0081,-0.00822,Piaulet-Ghorayeb et al. 2024,0.03192,0.00124,-0.00131,Calculated,0.1802,0.0118,-0.0118,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.7075,0.007,0.09272,0.00828,-0.00819,Piaulet-Ghorayeb et al. 2024,0.03045,0.00133,-0.00138,Calculated,0.1719,0.0117,-0.0117,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.7145,0.007,0.10629,0.00761,-0.00796,Piaulet-Ghorayeb et al. 2024,0.0326,0.00115,-0.00124,Calculated,0.184,0.0117,-0.0117,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.7215,0.007,0.09918,0.00846,-0.00813,Piaulet-Ghorayeb et al. 2024,0.03149,0.00132,-0.00132,Calculated,0.1777,0.0118,-0.0118,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.729,0.008,0.10795,0.00972,-0.00975,Piaulet-Ghorayeb et al. 2024,0.03286,0.00145,-0.00152,Calculated,0.1854,0.0127,-0.0127,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.7365,0.007,0.09297,0.00695,-0.00712,Piaulet-Ghorayeb et al. 2024,0.03049,0.00112,-0.00119,Calculated,0.1721,0.011,-0.011,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.7435,0.007,0.09891,0.00744,-0.00773,Piaulet-Ghorayeb et al. 2024,0.03145,0.00116,-0.00125,Calculated,0.1775,0.0114,-0.0114,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.751,0.008,0.10713,0.00702,-0.00704,Piaulet-Ghorayeb et al. 2024,0.03273,0.00106,-0.00109,Calculated,0.1847,0.0113,-0.0113,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.759,0.008,0.10462,0.0101,-0.01002,Piaulet-Ghorayeb et al. 2024,0.03235,0.00153,-0.00159,Calculated,0.1826,0.0129,-0.0129,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.7665,0.007,0.10262,0.01105,-0.01145,Piaulet-Ghorayeb et al. 2024,0.03203,0.00168,-0.00184,Calculated,0.1808,0.0136,-0.0136,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
0.774,0.008,0.09184,0.00859,-0.0082,Piaulet-Ghorayeb et al. 2024,0.03031,0.00139,-0.00138,Calculated,0.171,0.0118,-0.0118,Calculated,,,,0.58,0.03,-0.03,Piaulet-Ghorayeb et al. 2024
