CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
0.85227,0.00177,0.26209,0.02236,-0.02236,Madhusudhan et al. 2023,0.05119,0.00214,-0.00223,Calculated,0.2048,0.0208,-0.0208,Calculated,,,,0.411,0.038,-0.038,Sarkis et al. 2018
0.85404,0.00177,0.28409,0.02241,-0.02241,Madhusudhan et al. 2023,0.0533,0.00206,-0.00215,Calculated,0.2132,0.0214,-0.0214,Calculated,,,,0.411,0.038,-0.038,Sarkis et al. 2018
0.85581,0.00177,0.30457,0.02284,-0.02284,Madhusudhan et al. 2023,0.05519,0.00203,-0.00211,Calculated,0.2207,0.022,-0.022,Calculated,,,,0.411,0.038,-0.038,Sarkis et al. 2018
0.85758,0.00177,0.27158,0.02101,-0.02101,Madhusudhan et al. 2023,0.05211,0.00198,-0.00206,Calculated,0.2084,0.0209,-0.0209,Calculated,,,,0.411,0.038,-0.038,Sarkis et al. 2018
0.85935,0.00177,0.33272,0.01954,-0.01954,Madhusudhan et al. 2023,0.05768,0.00167,-0.00172,Calculated,0.2307,0.0224,-0.0224,Calculated,,,,0.411,0.038,-0.038,Sarkis et al. 2018
0.86112,0.00177,0.29445,0.0208,-0.0208,Madhusudhan et al. 2023,0.05426,0.00188,-0.00195,Calculated,0.217,0.0215,-0.0215,Calculated,,,,0.411,0.038,-0.038,Sarkis et al. 2018
0.86289,0.00177,0.31736,0.01981,-0.01981,Madhusudhan et al. 2023,0.05634,0.00173,-0.00179,Calculated,0.2253,0.022,-0.022,Calculated,,,,0.411,0.038,-0.038,Sarkis et al. 2018
0.86467,0.00177,0.2819,0.02081,-0.02081,Madhusudhan et al. 2023,0.05309,0.00192,-0.002,Calculated,0.2124,0.0211,-0.0211,Calculated,,,,0.411,0.038,-0.038,Sarkis et al. 2018
0.86644,0.00178,0.30821,0.02058,-0.02058,Madhusudhan et al. 2023,0.05552,0.00182,-0.00189,Calculated,0.222,0.0218,-0.0218,Calculated,,,,0.411,0.038,-0.038,Sarkis et al. 2018
0.86822,0.00178,0.29527,0.02045,-0.02045,Madhusudhan et al. 2023,0.05434,0.00185,-0.00192,Calculated,0.2173,0.0215,-0.0215,Calculated,,,,0.411,0.038,-0.038,Sarkis et al. 2018
0.86999,0.00178,0.27157,0.01971,-0.01971,Madhusudhan et al. 2023,0.05211,0.00186,-0.00193,Calculated,0.2084,0.0207,-0.0207,Calculated,,,,0.411,0.038,-0.038,Sarkis et al. 2018
0.87177,0.00178,0.30982,0.01952,-0.01952,Madhusudhan et al. 2023,0.05566,0.00173,-0.00178,Calculated,0.2226,0.0217,-0.0217,Calculated,,,,0.411,0.038,-0.038,Sarkis et al. 2018
0.87355,0.00178,0.28588,0.01847,-0.01847,Madhusudhan et al. 2023,0.05347,0.0017,-0.00176,Calculated,0.2138,0.0209,-0.0209,Calculated,,,,0.411,0.038,-0.038,Sarkis et al. 2018
0.87533,0.00178,0.29051,0.0194,-0.0194,Madhusudhan et al. 2023,0.0539,0.00177,-0.00183,Calculated,0.2156,0.0212,-0.0212,Calculated,,,,0.411,0.038,-0.038,Sarkis et al. 2018
0.87711,0.00178,0.291,0.01844,-0.01844,Madhusudhan et al. 2023,0.05394,0.00168,-0.00174,Calculated,0.2158,0.0211,-0.0211,Calculated,,,,0.411,0.038,-0.038,Sarkis et al. 2018
0.87889,0.00178,0.28665,0.01902,-0.01902,Madhusudhan et al. 2023,0.05354,0.00175,-0.00181,Calculated,0.2141,0.021,-0.021,Calculated,,,,0.411,0.038,-0.038,Sarkis et al. 2018
0.88067,0.00178,0.29756,0.01924,-0.01924,Madhusudhan et al. 2023,0.05455,0.00174,-0.00179,Calculated,0.2182,0.0214,-0.0214,Calculated,,,,0.411,0.038,-0.038,Sarkis et al. 2018
0.88246,0.00178,0.30334,0.01815,-0.01815,Madhusudhan et al. 2023,0.05508,0.00162,-0.00167,Calculated,0.2203,0.0214,-0.0214,Calculated,,,,0.411,0.038,-0.038,Sarkis et al. 2018
0.88424,0.00178,0.31162,0.01811,-0.01811,Madhusudhan et al. 2023,0.05582,0.0016,-0.00165,Calculated,0.2233,0.0216,-0.0216,Calculated,,,,0.411,0.038,-0.038,Sarkis et al. 2018
0.88603,0.00179,0.28657,0.01775,-0.01775,Madhusudhan et al. 2023,0.05353,0.00163,-0.00168,Calculated,0.2141,0.0209,-0.0209,Calculated,,,,0.411,0.038,-0.038,Sarkis et al. 2018
0.88781,0.00179,0.32576,0.01908,-0.01908,Madhusudhan et al. 2023,0.05707,0.00165,-0.0017,Calculated,0.2283,0.0221,-0.0221,Calculated,,,,0.411,0.038,-0.038,Sarkis et al. 2018
0.8896,0.00179,0.2966,0.01862,-0.01862,Madhusudhan et al. 2023,0.05446,0.00168,-0.00174,Calculated,0.2178,0.0213,-0.0213,Calculated,,,,0.411,0.038,-0.038,Sarkis et al. 2018
0.89139,0.00179,0.30659,0.01928,-0.01928,Madhusudhan et al. 2023,0.05537,0.00171,-0.00177,Calculated,0.2215,0.0216,-0.0216,Calculated,,,,0.411,0.038,-0.038,Sarkis et al. 2018
0.89318,0.00179,0.27559,0.01805,-0.01805,Madhusudhan et al. 2023,0.0525,0.00169,-0.00175,Calculated,0.21,0.0206,-0.0206,Calculated,,,,0.411,0.038,-0.038,Sarkis et al. 2018
0.89497,0.00179,0.28694,0.01897,-0.01897,Madhusudhan et al. 2023,0.05357,0.00174,-0.0018,Calculated,0.2142,0.021,-0.021,Calculated,,,,0.411,0.038,-0.038,Sarkis et al. 2018
0.89676,0.00179,0.31389,0.01756,-0.01756,Madhusudhan et al. 2023,0.05603,0.00155,-0.00159,Calculated,0.2241,0.0216,-0.0216,Calculated,,,,0.411,0.038,-0.038,Sarkis et al. 2018
