CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
2.9021,0.0443,0.55091,0.00388,-0.00388,Damiano et al. 2024,0.07422,0.00026,-0.00026,Calculated,0.1559,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
2.9467,0.045,0.54988,0.0036,-0.0036,Damiano et al. 2024,0.07415,0.00024,-0.00024,Calculated,0.1558,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
2.992,0.0456,0.54438,0.00342,-0.00342,Damiano et al. 2024,0.07378,0.00023,-0.00023,Calculated,0.155,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
3.038,0.0464,0.54674,0.00343,-0.00343,Damiano et al. 2024,0.07394,0.00023,-0.00023,Calculated,0.1553,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
3.0847,0.0471,0.54939,0.00319,-0.00319,Damiano et al. 2024,0.07412,0.00021,-0.00022,Calculated,0.1557,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
3.1322,0.0478,0.54814,0.00313,-0.00313,Damiano et al. 2024,0.07404,0.00021,-0.00021,Calculated,0.1555,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
3.1804,0.0486,0.55469,0.00314,-0.00314,Damiano et al. 2024,0.07448,0.00021,-0.00021,Calculated,0.1565,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
3.2294,0.0493,0.54877,0.00309,-0.00309,Damiano et al. 2024,0.07408,0.00021,-0.00021,Calculated,0.1556,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
3.279,0.0501,0.54919,0.003,-0.003,Damiano et al. 2024,0.07411,0.0002,-0.0002,Calculated,0.1557,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
3.3295,0.0508,0.5495,0.00297,-0.00297,Damiano et al. 2024,0.07413,0.0002,-0.0002,Calculated,0.1557,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
3.3807,0.0516,0.55017,0.00293,-0.00293,Damiano et al. 2024,0.07417,0.0002,-0.0002,Calculated,0.1558,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
3.4327,0.0524,0.54832,0.00291,-0.00291,Damiano et al. 2024,0.07405,0.0002,-0.0002,Calculated,0.1556,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
3.4855,0.0532,0.54783,0.0029,-0.0029,Damiano et al. 2024,0.07402,0.0002,-0.0002,Calculated,0.1555,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
3.5392,0.0541,0.55173,0.00289,-0.00289,Damiano et al. 2024,0.07428,0.00019,-0.00019,Calculated,0.1561,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
3.5936,0.0548,0.5451,0.00284,-0.00284,Damiano et al. 2024,0.07383,0.00019,-0.00019,Calculated,0.1551,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
3.6488,0.0557,0.5543,0.0029,-0.0029,Damiano et al. 2024,0.07445,0.00019,-0.00019,Calculated,0.1564,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
3.705,0.0566,0.55212,0.00341,-0.00341,Damiano et al. 2024,0.0743,0.00023,-0.00023,Calculated,0.1561,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
3.8535,0.0588,0.54928,0.00294,-0.00294,Damiano et al. 2024,0.07411,0.0002,-0.0002,Calculated,0.1557,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
3.9127,0.0597,0.5479,0.00301,-0.00301,Damiano et al. 2024,0.07402,0.0002,-0.0002,Calculated,0.1555,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
3.9729,0.0607,0.54644,0.0031,-0.0031,Damiano et al. 2024,0.07392,0.00021,-0.00021,Calculated,0.1553,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
4.0341,0.0616,0.55053,0.0032,-0.0032,Damiano et al. 2024,0.0742,0.00022,-0.00022,Calculated,0.1559,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
4.0961,0.0625,0.55505,0.00332,-0.00332,Damiano et al. 2024,0.0745,0.00022,-0.00022,Calculated,0.1565,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
4.1592,0.0635,0.54998,0.00343,-0.00343,Damiano et al. 2024,0.07416,0.00023,-0.00023,Calculated,0.1558,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
4.2232,0.0645,0.54379,0.0035,-0.0035,Damiano et al. 2024,0.07374,0.00024,-0.00024,Calculated,0.1549,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
4.2881,0.0655,0.54735,0.00401,-0.00401,Damiano et al. 2024,0.07398,0.00027,-0.00027,Calculated,0.1554,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
4.3541,0.0664,0.55071,0.00389,-0.00389,Damiano et al. 2024,0.07421,0.00026,-0.00026,Calculated,0.1559,0.0022,-0.0022,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
4.421,0.0675,0.55693,0.00415,-0.00415,Damiano et al. 2024,0.07463,0.00028,-0.00028,Calculated,0.1568,0.0023,-0.0023,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
4.4891,0.0686,0.55893,0.00429,-0.00429,Damiano et al. 2024,0.07476,0.00029,-0.00029,Calculated,0.1571,0.0023,-0.0023,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
4.5582,0.0696,0.54889,0.00446,-0.00446,Damiano et al. 2024,0.07409,0.0003,-0.0003,Calculated,0.1557,0.0023,-0.0023,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
4.6283,0.0706,0.55039,0.00457,-0.00457,Damiano et al. 2024,0.07419,0.00031,-0.00031,Calculated,0.1559,0.0023,-0.0023,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
4.6995,0.0718,0.55676,0.00471,-0.00471,Damiano et al. 2024,0.07462,0.00031,-0.00032,Calculated,0.1568,0.0023,-0.0023,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
4.7718,0.0728,0.54706,0.00486,-0.00486,Damiano et al. 2024,0.07396,0.00033,-0.00033,Calculated,0.1554,0.0023,-0.0023,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
4.8452,0.074,0.54626,0.00508,-0.00508,Damiano et al. 2024,0.07391,0.00034,-0.00034,Calculated,0.1553,0.0023,-0.0023,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
4.9198,0.0751,0.55318,0.0053,-0.0053,Damiano et al. 2024,0.07438,0.00036,-0.00036,Calculated,0.1563,0.0023,-0.0023,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
4.9954,0.0763,0.54521,0.00552,-0.00552,Damiano et al. 2024,0.07384,0.00037,-0.00037,Calculated,0.1551,0.0023,-0.0023,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
5.0723,0.0774,0.55373,0.00558,-0.00558,Damiano et al. 2024,0.07441,0.00037,-0.00038,Calculated,0.1563,0.0023,-0.0023,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
5.1503,0.0786,0.54423,0.00807,-0.00807,Damiano et al. 2024,0.07377,0.00055,-0.00055,Calculated,0.155,0.0024,-0.0024,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
