CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
0.65338,0.00327,0.52107,0.02366,-0.02366,Cadieux et al. 2024,0.07219,0.00162,-0.00166,Calculated,0.1517,0.004,-0.004,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
0.65995,0.0033,0.55925,0.02538,-0.02538,Cadieux et al. 2024,0.07478,0.00168,-0.00172,Calculated,0.1571,0.0042,-0.0042,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
0.66658,0.00333,0.50942,0.0227,-0.0227,Cadieux et al. 2024,0.07137,0.00157,-0.00161,Calculated,0.15,0.0039,-0.0039,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
0.67328,0.00337,0.51672,0.01994,-0.01994,Cadieux et al. 2024,0.07188,0.00137,-0.0014,Calculated,0.151,0.0036,-0.0036,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
0.68005,0.0034,0.52968,0.01756,-0.01756,Cadieux et al. 2024,0.07278,0.0012,-0.00122,Calculated,0.1529,0.0033,-0.0033,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
0.68688,0.00343,0.51124,0.01655,-0.01655,Cadieux et al. 2024,0.0715,0.00115,-0.00117,Calculated,0.1502,0.0032,-0.0032,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
0.69379,0.00347,0.53221,0.01411,-0.01411,Cadieux et al. 2024,0.07295,0.00096,-0.00097,Calculated,0.1533,0.0029,-0.0029,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
0.70076,0.0035,0.56103,0.01592,-0.01592,Cadieux et al. 2024,0.0749,0.00106,-0.00107,Calculated,0.1574,0.0031,-0.0031,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
0.7078,0.00354,0.53462,0.01661,-0.01661,Cadieux et al. 2024,0.07312,0.00113,-0.00115,Calculated,0.1536,0.0032,-0.0032,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
0.71492,0.00357,0.55881,0.01516,-0.01516,Cadieux et al. 2024,0.07475,0.00101,-0.00102,Calculated,0.1571,0.003,-0.003,Calculated,,,,0.2159,0.003,-0.003,Cadieux et al. 2024
