CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
2.87282,0.02028,0.09932,0.00305,-0.00305,Alderson et al. 2025,0.03151,0.00048,-0.00049,Calculated,0.1677,0.0058,-0.0058,Calculated,2460088.79193,5e-05,-5e-05,0.547,0.017,-0.017,Fridlund et al. 2024
2.89283,0.02028,0.09563,0.00305,-0.00305,Alderson et al. 2025,0.03092,0.00049,-0.0005,Calculated,0.1646,0.0057,-0.0057,Calculated,2460088.79193,5e-05,-5e-05,0.547,0.017,-0.017,Fridlund et al. 2024
2.91318,0.02028,0.09363,0.00293,-0.00293,Alderson et al. 2025,0.0306,0.00047,-0.00048,Calculated,0.1629,0.0057,-0.0057,Calculated,2460088.79193,5e-05,-5e-05,0.547,0.017,-0.017,Fridlund et al. 2024
2.93352,0.02028,0.09791,0.00282,-0.00282,Alderson et al. 2025,0.03129,0.00045,-0.00045,Calculated,0.1666,0.0057,-0.0057,Calculated,2460088.79193,5e-05,-5e-05,0.547,0.017,-0.017,Fridlund et al. 2024
2.95393,0.02028,0.10295,0.00274,-0.00274,Alderson et al. 2025,0.03209,0.00042,-0.00043,Calculated,0.1708,0.0058,-0.0058,Calculated,2460088.79193,5e-05,-5e-05,0.547,0.017,-0.017,Fridlund et al. 2024
2.97427,0.02028,0.09507,0.00278,-0.00278,Alderson et al. 2025,0.03083,0.00045,-0.00045,Calculated,0.1641,0.0056,-0.0056,Calculated,2460088.79193,5e-05,-5e-05,0.547,0.017,-0.017,Fridlund et al. 2024
2.9946,0.02028,0.09594,0.00267,-0.00267,Alderson et al. 2025,0.03097,0.00043,-0.00043,Calculated,0.1649,0.0056,-0.0056,Calculated,2460088.79193,5e-05,-5e-05,0.547,0.017,-0.017,Fridlund et al. 2024
3.01499,0.02028,0.09936,0.00267,-0.00267,Alderson et al. 2025,0.03152,0.00042,-0.00043,Calculated,0.1678,0.0057,-0.0057,Calculated,2460088.79193,5e-05,-5e-05,0.547,0.017,-0.017,Fridlund et al. 2024
3.03532,0.02028,0.08858,0.00258,-0.00258,Alderson et al. 2025,0.02976,0.00043,-0.00044,Calculated,0.1584,0.0054,-0.0054,Calculated,2460088.79193,5e-05,-5e-05,0.547,0.017,-0.017,Fridlund et al. 2024
3.05565,0.02028,0.09541,0.00258,-0.00258,Alderson et al. 2025,0.03089,0.00042,-0.00042,Calculated,0.1644,0.0056,-0.0056,Calculated,2460088.79193,5e-05,-5e-05,0.547,0.017,-0.017,Fridlund et al. 2024
3.07563,0.02028,0.0996,0.00262,-0.00262,Alderson et al. 2025,0.03156,0.00041,-0.00042,Calculated,0.168,0.0057,-0.0057,Calculated,2460088.79193,5e-05,-5e-05,0.547,0.017,-0.017,Fridlund et al. 2024
3.09567,0.02028,0.0921,0.00257,-0.00257,Alderson et al. 2025,0.03035,0.00042,-0.00043,Calculated,0.1615,0.0055,-0.0055,Calculated,2460088.79193,5e-05,-5e-05,0.547,0.017,-0.017,Fridlund et al. 2024
3.11599,0.02028,0.09576,0.0026,-0.0026,Alderson et al. 2025,0.03094,0.00042,-0.00042,Calculated,0.1647,0.0056,-0.0056,Calculated,2460088.79193,5e-05,-5e-05,0.547,0.017,-0.017,Fridlund et al. 2024
3.1363,0.02028,0.08423,0.00255,-0.00255,Alderson et al. 2025,0.02902,0.00044,-0.00044,Calculated,0.1545,0.0053,-0.0053,Calculated,2460088.79193,5e-05,-5e-05,0.547,0.017,-0.017,Fridlund et al. 2024
3.15661,0.02028,0.0925,0.00251,-0.00251,Alderson et al. 2025,0.03041,0.00041,-0.00042,Calculated,0.1619,0.0055,-0.0055,Calculated,2460088.79193,5e-05,-5e-05,0.547,0.017,-0.017,Fridlund et al. 2024
3.17692,0.02028,0.09396,0.00259,-0.00259,Alderson et al. 2025,0.03065,0.00042,-0.00043,Calculated,0.1632,0.0055,-0.0055,Calculated,2460088.79193,5e-05,-5e-05,0.547,0.017,-0.017,Fridlund et al. 2024
