CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
2.87284,0.01014,0.11178,0.0019,-0.0019,Teske et al. 2025,0.03343,0.00028,-0.00029,Calculated,0.178,0.0057,-0.0057,Calculated,,,,0.547,0.017,-0.017,Fridlund et al. 2024
2.89312,0.01014,0.11181,0.00188,-0.00188,Teske et al. 2025,0.03344,0.00028,-0.00028,Calculated,0.178,0.0057,-0.0057,Calculated,,,,0.547,0.017,-0.017,Fridlund et al. 2024
2.9134,0.01014,0.11562,0.00184,-0.00184,Teske et al. 2025,0.034,0.00027,-0.00027,Calculated,0.181,0.0058,-0.0058,Calculated,,,,0.547,0.017,-0.017,Fridlund et al. 2024
2.93368,0.01014,0.11427,0.00178,-0.00178,Teske et al. 2025,0.0338,0.00026,-0.00026,Calculated,0.1799,0.0058,-0.0058,Calculated,,,,0.547,0.017,-0.017,Fridlund et al. 2024
2.95395,0.01014,0.11534,0.0017,-0.0017,Teske et al. 2025,0.03396,0.00025,-0.00025,Calculated,0.1808,0.0058,-0.0058,Calculated,,,,0.547,0.017,-0.017,Fridlund et al. 2024
2.97423,0.01014,0.11228,0.00176,-0.00176,Teske et al. 2025,0.03351,0.00026,-0.00026,Calculated,0.1784,0.0057,-0.0057,Calculated,,,,0.547,0.017,-0.017,Fridlund et al. 2024
2.99451,0.01014,0.11252,0.00167,-0.00167,Teske et al. 2025,0.03354,0.00025,-0.00025,Calculated,0.1786,0.0057,-0.0057,Calculated,,,,0.547,0.017,-0.017,Fridlund et al. 2024
3.01478,0.01014,0.11311,0.00173,-0.00173,Teske et al. 2025,0.03363,0.00026,-0.00026,Calculated,0.179,0.0057,-0.0057,Calculated,,,,0.547,0.017,-0.017,Fridlund et al. 2024
3.03506,0.01014,0.11277,0.00164,-0.00164,Teske et al. 2025,0.03358,0.00024,-0.00024,Calculated,0.1788,0.0057,-0.0057,Calculated,,,,0.547,0.017,-0.017,Fridlund et al. 2024
3.05534,0.01014,0.11486,0.00166,-0.00166,Teske et al. 2025,0.03389,0.00024,-0.00025,Calculated,0.1804,0.0058,-0.0058,Calculated,,,,0.547,0.017,-0.017,Fridlund et al. 2024
3.07562,0.01014,0.1104,0.00171,-0.00171,Teske et al. 2025,0.03323,0.00026,-0.00026,Calculated,0.1769,0.0057,-0.0057,Calculated,,,,0.547,0.017,-0.017,Fridlund et al. 2024
3.09589,0.01014,0.115,0.00166,-0.00166,Teske et al. 2025,0.03391,0.00024,-0.00025,Calculated,0.1805,0.0058,-0.0058,Calculated,,,,0.547,0.017,-0.017,Fridlund et al. 2024
3.11617,0.01014,0.11453,0.00159,-0.00159,Teske et al. 2025,0.03384,0.00023,-0.00024,Calculated,0.1801,0.0057,-0.0057,Calculated,,,,0.547,0.017,-0.017,Fridlund et al. 2024
3.13645,0.01014,0.11538,0.00166,-0.00166,Teske et al. 2025,0.03397,0.00024,-0.00025,Calculated,0.1808,0.0058,-0.0058,Calculated,,,,0.547,0.017,-0.017,Fridlund et al. 2024
3.15673,0.01014,0.11718,0.00164,-0.00164,Teske et al. 2025,0.03423,0.00024,-0.00024,Calculated,0.1822,0.0058,-0.0058,Calculated,,,,0.547,0.017,-0.017,Fridlund et al. 2024
3.177,0.01014,0.11231,0.00179,-0.00179,Teske et al. 2025,0.03351,0.00027,-0.00027,Calculated,0.1784,0.0057,-0.0057,Calculated,,,,0.547,0.017,-0.017,Fridlund et al. 2024
3.19728,0.01014,0.11517,0.00162,-0.00162,Teske et al. 2025,0.03394,0.00024,-0.00024,Calculated,0.1806,0.0058,-0.0058,Calculated,,,,0.547,0.017,-0.017,Fridlund et al. 2024
3.21756,0.01014,0.11423,0.00162,-0.00162,Teske et al. 2025,0.0338,0.00024,-0.00024,Calculated,0.1799,0.0057,-0.0057,Calculated,,,,0.547,0.017,-0.017,Fridlund et al. 2024
3.23784,0.01014,0.11465,0.00166,-0.00166,Teske et al. 2025,0.03386,0.00024,-0.00025,Calculated,0.1802,0.0058,-0.0058,Calculated,,,,0.547,0.017,-0.017,Fridlund et al. 2024
3.25811,0.01014,0.1173,0.00168,-0.00168,Teske et al. 2025,0.03425,0.00024,-0.00025,Calculated,0.1823,0.0058,-0.0058,Calculated,,,,0.547,0.017,-0.017,Fridlund et al. 2024
3.27839,0.01014,0.11543,0.00159,-0.00159,Teske et al. 2025,0.03398,0.00023,-0.00023,Calculated,0.1809,0.0058,-0.0058,Calculated,,,,0.547,0.017,-0.017,Fridlund et al. 2024
3.29867,0.01014,0.11177,0.00165,-0.00165,Teske et al. 2025,0.03343,0.00025,-0.00025,Calculated,0.178,0.0057,-0.0057,Calculated,,,,0.547,0.017,-0.017,Fridlund et al. 2024
3.31895,0.01014,0.11767,0.00169,-0.00169,Teske et al. 2025,0.0343,0.00025,-0.00025,Calculated,0.1826,0.0058,-0.0058,Calculated,,,,0.547,0.017,-0.017,Fridlund et al. 2024
