site,reference_median,candidate_median,reference_sigma,candidate_sigma,median_shift_sigma,sigma_ratio,candidate_seed_null_sigma,reference_seed_null_sigma
_b_0,0.30637890191371975,0.3066230273081796,0.013162448499508657,0.013038533290344823,0.018547111084153575,0.9905857022598448,0.0030267364847608204,0.05888700258237841
a_rs_0,13.989240100686288,13.98810983313239,0.06136342917348736,0.06086087705125715,-0.018419237143729117,0.9918102340596158,0.011576960856240184,0.051089654461196767
b_0,0.30637890191371975,0.3066230273081796,0.013162448499508657,0.013038533290344823,0.018547111084153575,0.9905857022598448,0.0030267364847608204,0.05888700258237841
c,1.0002135351402521,1.0002135235151828,5.232520902964913e-06,5.3733758318753715e-06,-0.002221695730829856,1.0269191335347836,0.03514083145158252,0.08982540608076278
c1,0.5050858267197553,0.5049746478381923,0.002078308673860079,0.001982579988577957,-0.05349488406670813,0.9539391397985538,0.007944404397779822,0.042647294093337465
c2,0.3121514460178145,0.31198087393636376,0.0034580112460676736,0.003440536054343869,-0.0493266416194392,0.9949464618590593,0.009679221261706592,0.1755007139531486
cos_i_0,0.02190277790539595,0.021921101893853715,0.001035941659719247,0.001026644340103495,0.0176882436243854,0.9910252478713216,0.011116755785922942,0.056684544274302175
depths_0,0.00602376267559889,0.006023930075350209,7.714627278729215e-06,7.465374721815918e-06,0.02169900699935427,0.9676909139083704,0.05299817654623132,0.09514769364460733
duration_0,0.07852837670405285,0.07853182241421897,5.93908994469702e-05,5.9182682849262e-05,0.05801747739462721,0.996494132945501,0.010379296638311069,0.08041311606559193
error,0.00011547279049269721,0.00011551513310435658,1.7721054025543863e-06,1.8442743401288375e-06,0.023893957773803508,1.040724968994747,0.052513388767050494,0.07141470039406334
inc_0,1.5488917972685945,1.5488734688795716,0.001036188401314243,0.0010268897686956677,-0.017688278501950202,0.9910261178307135,0.011116779451832412,0.05668465679096041
logD_0,-2.5442952328386887,-2.5442513552656294,0.0007563134208378205,0.0007536165200013879,0.058015066043309776,0.9964341491739693,0.010378625390105522,0.08041191982901395
log_jitter,-9.789685515116087,-9.788130000446454,0.06646249871593354,0.06846989183605115,0.02340439645944232,1.0302033952815615,0.05135465160468361,0.07015402812296394
rors_0,0.07761290276493034,0.07761398118477211,4.970082856282576e-05,4.809334468942438e-05,0.021698226628371575,0.9676567992952191,0.052996136393284494,0.09514408177883373
t0_0,60741.270364635915,60741.270365534074,1.1484496980790628e-05,1.193396151000643e-05,0.0782061905987108,1.0391366317538846,0.0626348959620789,0.08443521529019768
v,-0.003122201400803111,-0.0031217198463799403,4.2687656048432755e-05,4.3630537542746705e-05,0.0112808822912248,1.022087919122197,0.02383533472145929,0.041990871864289576
