site,reference_median,candidate_median,reference_sigma,candidate_sigma,median_shift_sigma,sigma_ratio,candidate_seed_null_sigma,reference_seed_null_sigma
A,0.0005800460935693891,0.0005802525016840587,3.709611349271916e-05,3.8957683240961366e-05,0.005564143928720877,1.0501823391447078,0.0,0.015372170320553448
_b_0,0.12026872257822085,-0.1265971978579925,0.08933724580071492,0.024385072432974456,-2.7633034600920934,0.27295527430261696,0.0,0.0023310099528804197
a_rs_0,5.195772745589218,5.194590768473208,0.014878833257248553,0.013803226433408191,-0.07944017488289867,0.9277089268194899,0.0,0.01149933253339034
b_0,0.12482149174630108,0.1265971978579925,0.02557353538238698,0.024245818496793678,0.06943530040490167,0.9480823880726429,0.0,0.01434074400389699
c,1.0000575410193564,1.0000577429725668,3.113414048780191e-05,3.382567312397036e-05,0.006486551650786509,1.0864495564675367,0.0,0.07804821052051086
c1,0.5308251041183325,0.5308251041183325,1.1105006845081086e-16,1.110778552818352e-16,0.0,1.0002502189454898,0.0,0.0
cos_i_0,0.02402318286853601,0.024366931456457193,0.0049825078140295,0.004720426219944721,0.06899107853945989,0.9473996622048796,0.0,0.013599696094757733
depths_0,0.010557361908641047,0.010558253605762553,1.1489004055660746e-05,1.101250178447615e-05,0.07761309136855937,0.9585253631319053,0.0,0.0854661819421502
duration_0,0.17625752721325072,0.17626060281390493,0.00010784358552359573,0.00010074910367034445,0.028519087521799397,0.9342150780799194,0.0,0.03810391857115948
error,0.0006026301416769562,0.0006024637038546085,2.131138729536357e-06,2.282341183690751e-06,-0.0780980703137677,1.070949137218903,0.0,0.2341881582227285
inc_0,1.5467708326428284,1.5464269833934106,0.00498377629585949,0.004721584356612387,-0.06899371661275237,0.9473909092860104,0.0,0.013600154233809995
logD_0,-1.7358091306089163,-1.7357916812903769,0.000611841785260666,0.0005715874856061224,0.028519331238525594,0.934207991960873,0.0,0.0381047435150025
log_jitter,-8.412520913443457,-8.414558661936583,0.02617037695752609,0.028170539109818937,-0.0778646978006421,1.0764284807795876,0.0,0.23308200640102944
log_tau,-2.345465516992968,-2.3475197576931772,0.05615265391468258,0.06355613592497783,-0.03658314535463452,1.131845629621424,0.0,0.08059511546471405
rors_0,0.10274902388169424,0.10275336298999205,5.590661899550934e-05,5.3586091417785774e-05,0.07761349864773248,0.9584927935293321,0.0,0.08546882865154064
t0_0,60470.72669646407,60470.7266964804,1.7987815846039376e-05,1.9132932212100396e-05,0.0009076837914049805,1.0636606676353737,0.0,0.0004457520223388095
tau,0.09580259408881697,0.0956059944603541,0.00506574351134106,0.005644720516767999,-0.03880962943005866,1.1142926016942507,0.0,0.08555025725803529
v,-0.0012060748289406745,-0.0012055888928019093,7.863413635846326e-05,8.486582363895433e-05,0.006179709745268737,1.0792491349060307,0.0,0.014191025593253493
