site,reference_median,candidate_median,reference_sigma,candidate_sigma,median_shift_sigma,sigma_ratio,candidate_seed_null_sigma,reference_seed_null_sigma
A,0.0005799052840525787,0.0005807892051714197,3.69941213107568e-05,3.829363183865167e-05,0.023893556260357496,1.0351274873372114,0.07887270355535408,0.01963992435574993
_b_0,0.0973888056655654,-0.09124395844718847,0.12417217815052682,0.12607989347305318,-1.5191226160507967,1.015363468298138,1.9176133203972607,1.984963472044796
a_rs_0,5.19547506674046,5.194078086987357,0.014426674359002366,0.014684998122153303,-0.09683311055201989,1.017905981428751,0.12201639976351326,0.0682218718386241
b_0,0.12549522738362484,0.1277337195363646,0.024792673903262716,0.02578943941156109,0.09028845220463133,1.0402040341508787,0.09461289475094677,0.08620466111016387
c,1.000057915442961,1.0000579775969305,3.117610874496051e-05,3.2788179851681574e-05,0.001993641029262105,1.0517085413034957,0.03946846000288126,0.07794314457412578
c1,0.5308251041183325,0.5308251041183325,2.2208162161361474e-16,2.220631109553943e-16,0.0,0.999916649301793,0.0,0.0
cos_i_0,0.02415117380749215,0.024594659896669993,0.004830090779318071,0.005021080087024317,0.09181734038556828,1.0395415565529416,0.09566457693574452,0.08735861239778368
depths_0,0.01055755274339114,0.010558390780980923,1.1348627728448071e-05,1.151902106334598e-05,0.0738448392031141,1.01501444394645,0.06012088698278147,0.12301352455998542
duration_0,0.176259813525068,0.17626672675089633,0.00010552188018953489,0.00010585898475441488,0.0655146194884723,1.003194641379347,0.09092431730418758,0.09100026658446432
error,0.0006025631116368005,0.0006024056421892075,2.0461852673335256e-06,2.1180687068744928e-06,-0.07695757080598027,1.0351304648159458,0.10356656771858261,0.2439111755689786
inc_0,1.546642804558072,1.546199186682475,0.004831315820123034,0.0050223139301765266,-0.09182133648754201,1.0395333522304548,0.09566907051537052,0.08736201732056313
logD_0,-1.735796159264991,-1.7357569382416802,0.0005986743216183711,0.000600587788350123,0.06551312106532714,1.0031961730487775,0.09092114008912522,0.09100012045820176
log_jitter,-8.413340651760446,-8.415271352833408,0.02512427233838822,0.026071879336183264,-0.0768460493883138,1.037716793745591,0.10371686742134374,0.24278689099430323
log_tau,-2.3467104005220807,-2.346528520966096,0.057298750572990054,0.05993200487627945,0.0031742324948741975,1.045956574566753,0.06858506964369336,0.07898304204973884
rors_0,0.10274995252257366,0.10275403048533366,5.522311866657667e-05,5.6051254796743575e-05,0.07384520937007462,1.0149961854774443,0.06012041797977657,0.12301706017738887
t0_0,60470.726696432204,60470.726695801306,1.8077509571496303e-05,1.851321910946101e-05,-0.03489962387964176,1.0241022988394215,0.07134399180783692,0.010128175934809195
tau,0.0956834051484925,0.09570080958308033,0.00514669023416179,0.005367302050868924,0.003381675172970874,1.0428647940073787,0.0731451348229963,0.08420472981293227
v,-0.0012067127009669984,-0.0012066051752621168,7.840055744391726e-05,8.245140410776978e-05,0.001371491586121843,1.0516685951723013,0.01774494655909456,0.022439072899563987
