site,reference_median,candidate_median,reference_sigma,candidate_sigma,median_shift_sigma,sigma_ratio,candidate_seed_null_sigma,reference_seed_null_sigma
_b_0,0.23310251304406826,0.2331854058317917,0.013668445825442079,0.013102355073381826,0.006064536435382338,0.9585841170759483,0.024003064166243173,0.10791790219158523
a_rs_0,11.703048277738212,11.70264334276072,0.03614283074492682,0.035034309559999546,-0.01120374273808719,0.9693294309803646,0.03542084649884735,0.11451814765975102
b_0,0.23310251304406826,0.2331854058317917,0.013668445825442079,0.013102355073381826,0.006064536435382338,0.9585841170759483,0.024003064166243173,0.10791790219158523
c,1.0000113374055182,1.0000105098355339,1.458728783335401e-05,1.501381828015846e-05,-0.05673227222035715,1.0292398732154433,0.0007618353811319786,0.07874927075475886
c1,0.6306918711179225,0.6301624324944607,0.01053008247870328,0.010031099058096198,-0.05027867773424817,0.9526135316018409,0.06781440240160742,0.0734369645712256
c2,0.48303155015123245,0.48314833052267725,0.009216716473178002,0.00881163152407084,0.012670496242848566,0.9560488867932502,0.02611820964253934,0.08503270865389342
cos_i_0,0.019915065124302647,0.019931771643489134,0.0012279540551230473,0.001177495008954734,0.013605166347052895,0.9589080340931347,0.032098716632591895,0.11422862564497047
depths_0,0.0188501836669731,0.018849181572012874,4.1345980911234445e-05,3.9693746264369054e-05,-0.02423681669032169,0.9600388088406326,0.04927444784637683,0.12246024791045151
duration_0,0.09744921231940652,0.0974458376323051,7.897792067029083e-05,7.966595794051194e-05,-0.04272950050820114,1.0087117673443626,0.0585214073344095,0.09367075820065884
error,0.00010320647461197873,0.0001031902174558249,2.6357826110712727e-06,2.5280184522135783e-06,-0.006167866836036479,0.9591149291276736,0.018039723319625677,0.03502406444600721
inc_0,1.5508799450171569,1.5508632351812348,0.0012281956329702718,0.0011777260796145348,-0.01360519079655602,0.958907561628695,0.03209877379183134,0.11422883580473261
logD_0,-2.328423935981674,-2.328458566795545,0.0008104596721579558,0.0008174992165365607,-0.042729842163545306,1.0086858663304752,0.05852326284631778,0.09366889967185842
log_jitter,-10.823589908921432,-10.82783398856793,0.42770373605068907,0.4372962633235323,-0.009922942655788088,1.0224279716642606,0.029004457268200508,0.055484145032257466
rors_0,0.13729597105129993,0.13729232160617302,0.00015056917663445262,0.00014455135761316082,-0.024237664098821717,0.9600328622643552,0.049276153081230574,0.12246531839505419
spot_amp,0.00033278519295563817,0.0003335762608032045,5.072189587213559e-05,5.0156739126235896e-05,0.01559618058363801,0.988857736167347,0.024825131558366124,0.03478598143971849
spot_mu,60115.47363842656,60115.47368075086,0.000715594374613429,0.0007069076636205968,0.05914565272578098,0.9878608450527231,0.04475964150670712,0.060175611463008455
spot_sigma,0.0037037926037253423,0.0037133299980145786,0.0004979682670170633,0.000489970583073952,0.01915261457595939,0.9839393702915668,0.04451408037096859,0.06462061959592831
t0_0,60115.44794343661,60115.44794271114,1.4332140149347618e-05,1.4423926838174469e-05,-0.0506184822528423,1.0064042556010748,0.0802591400216718,0.015565076682634743
v,-5.750500392627533e-05,-5.470669211005835e-05,0.00010558674321446069,0.00010856373502389488,0.026502491989294885,1.0281947498218362,0.07898712635227553,0.10406720920267039
