planet_name,match_key,x_eq_temp_K,y_snr_per_5H_per_visit_18amu,sy_jmag,pl_trandur_hr,pl_rade_Re,pl_bmasse_Me,st_rad_Rs,rho_norm
TOI 544b,toi 544b,1058.0,3.0800659627900058,8.592,1.21,2.018,2.89,0.623,0.2924
TOI 2015b,toi 2015b,531.0,2.1897152360737073,11.118,0.9876,3.309,9.2,0.3273,0.1606
TOI 4438b,toi 4438b,435.0,2.8786344032776983,9.695,2.021,2.52,5.4,0.372,0.2441
TOI 1266b,toi 1266b,414.0,2.581415724059238,9.706,2.071,2.52,4.46,0.4232,0.2126
TOI 270c,toi 270c,489.0,2.6809169874998275,9.099,1.6632,2.355,6.15,0.378,0.3322
G 9 40b,g 9 40b,440.0,1.9716791080750664,10.058,1.693,1.9,4.0,0.3026,0.4527
TOI 1201b,toi 1201b,705.0,1.90104335485023,9.528,1.747,2.415,6.28,0.508,0.3113
TOI 1266c,toi 1266c,351.0,1.4496823676429673,9.706,1.951,1.98,3.17,0.4232,0.3346
TOI 1759b,toi 1759b,453.0,2.1782519155883513,8.771,3.23,3.14,10.8,0.597,0.2092
TOI 969b,toi 969b,1078.0,1.5595120579796031,9.596,1.519,2.765,9.1,0.671,0.2692
TOI 663b,toi 663b,739.0,1.468705801243182,10.448,1.6636,2.27,4.45,0.512,0.2859
TOI 663c,toi 663c,607.0,1.6553473227684274,10.448,2.1639,2.26,3.65,0.512,0.2497
TOI 178e,toi 178e,605.0,1.5858498051687437,9.372,2.501,2.207,3.86,0.651,0.2823
TOI 269b,toi 269b,575.0,1.0511985988404806,10.909,0.9308,2.77,8.8,0.398,0.2649
K2 25b,k2 25b,494.0,0.8648917821064216,11.303,0.7637,3.44,24.5,0.2932,
K2 266d,k2 266d,538.0,1.2832946628706015,9.611,3.408,2.93,8.9,0.703,0.2351
TOI 824b,toi 824b,1257.0,1.0616508303261394,9.145,1.1534,2.926,18.467,0.695,0.3724
TOi 65401,toi 65401,798.0,0.9787372420712791,10.744,1.2,2.378,8.71,0.43,0.4182
TOI 1470b,toi 1470b,725.0,0.9286409286047326,10.154,1.28,2.18,7.32,0.469,0.4714
ROSS 176b,ross 176b,682.0,0.9902463945387181,9.243,1.66,1.84,4.57,0.569,0.5532
K2 3b,k2 3b,501.0,1.1825331422993506,9.421,2.6406,2.078,5.11,0.546,0.4157
TOI 178f,toi 178f,525.0,0.7418561152800414,9.372,2.348,2.287,7.72,0.651,0.4333
TOI 1260b,toi 1260b,872.0,0.9837415773914229,9.698,2.06,2.41,8.56,0.672,0.3922
TOI 406c,toi 406c,368.0,0.5391695143520029,9.695,1.05,1.32,2.08,0.41,0.7905
TOI 1695b,toi 1695b,688.0,0.7141198879806261,9.64,1.311,1.9,6.36,0.515,0.6332
TOI 1634b,toi 1634b,920.0,0.8154833982938371,9.484,1.0358,1.773,7.57,0.45,0.9197
