channel,ess,divergences,sampler
0,1237.7030240072236,0,independent_nuts
1,1632.1154317206979,0,independent_nuts
2,975.6634286653092,0,independent_nuts
3,2077.7081525499716,0,independent_nuts
4,1541.0401454460284,0,independent_nuts
5,1529.6578316815908,0,independent_nuts
6,2083.717367106679,0,independent_nuts
7,2025.6554082798466,0,independent_nuts
8,1471.945687477716,0,independent_nuts
9,2069.6804510094535,0,independent_nuts
10,2774.7644444638086,0,independent_nuts
11,999.6309361831658,0,independent_nuts
12,1378.6317976198713,0,independent_nuts
13,1759.27413435811,0,independent_nuts
