planet_name,category,published,spec_category,is_nirspec,x_eq_temp_K,y_snr_per_1H_per_visit,snr_per_5H_per_visit
TOI 544b,Potential Targets (blue),False,other,False,1058.0,1.2701028317172434,
TOI 2015b,Potential Targets (blue),False,other,False,531.0,0.9029558313330264,
TOI 4438b,Potential Targets (blue),False,other,False,435.0,1.1870400670801977,
TOI 1266b,Potential Targets (blue),False,other,False,414.0,1.0644783133141589,
TOI 270c,Potential Targets (blue),False,other,False,489.0,1.105508874991111,
G 9 40b,Potential Targets (blue),False,other,False,440.0,0.81304597000756,
TOI 1201b,Potential Targets (blue),False,other,False,705.0,0.7839184541442055,
TOI 1266c,Potential Targets (blue),False,other,False,351.0,0.5977942363825355,
TOI 1759b,Potential Targets (blue),False,other,False,453.0,0.8982287910731013,
TOI 969b,Potential Targets (blue),False,other,False,1078.0,0.6430838510818359,
TOI 663b,Potential Targets (blue),False,other,False,739.0,0.6056387816541345,
TOI 663c,Potential Targets (blue),False,other,False,607.0,0.6826026934239006,
TOI 178e,Potential Targets (blue),False,other,False,605.0,0.653944542927435,
TOI 269b,Potential Targets (blue),False,other,False,575.0,0.43347458567903396,
K2 25b,Potential Targets (blue),False,other,False,494.0,0.356648693519306,
K2 266d,Potential Targets (blue),False,other,False,538.0,0.5291822334100774,
TOI 824b,Potential Targets (blue),False,other,False,1257.0,0.437784691036542,
TOi 65401,Potential Targets (blue),False,other,False,798.0,0.4035942598891053,
TOI 1470b,Potential Targets (blue),False,other,False,725.0,0.3829364329590546,
ROSS 176b,Potential Targets (blue),False,other,False,682.0,0.408340199526813,
K2 3b,Potential Targets (blue),False,other,False,501.0,0.48763198930759216,
TOI 178f,Potential Targets (blue),False,other,False,525.0,0.30591343306506136,
TOI 1260b,Potential Targets (blue),False,other,False,872.0,0.4056578587008721,
TOI 406c,Potential Targets (blue),False,other,False,368.0,0.222333136766259,
TOI 1695b,Potential Targets (blue),False,other,False,688.0,0.2944760608594901,
TOI 1634b,Potential Targets (blue),False,other,False,920.0,0.33627454278712754,
K2-18 b,Approved - Features (red),True,clear,False,279.6,,0.479
TOI-270 d,Approved - Features (red),True,clear,False,379.9,,1.373
GJ 9827 d,Approved - Features (red),True,clear,False,671.8,,0.944
LHS-1140 b,Approved - Unsure/Unknown (red),True,other,False,226.0,,0.958
TOI-421 b,Approved - Features (red),True,clear,False,1012.5,,0.878
GJ-3090 b,Approved - Unsure/Unknown (red),True,other,False,708.0,,0.827
HAT-P-11 b,Approved - Features (red),False,clear,False,869.5,,2.204
TOI-1130 b,Approved - Features (red),False,clear,False,809.3,,0.736
HD 15337 b,Approved - Unsure/Unknown (red),False,other,False,996.3,,0.363
HD 15337 c,Approved - Unsure/Unknown (red),False,other,False,644.2,,0.572
TOI-178 d,Approved - Flat (red),False,flat,False,676.3,,1.415
TOI-178 g,Approved - Unsure/Unknown (red),False,other,False,467.9,,1.497
TOI-260 b,Approved - Unsure/Unknown (red),False,other,False,499.9,,0.678
TOI-125 b,Approved - Unsure/Unknown (red),False,other,False,1030.6,,0.52
TOI-4010 b,Approved - Unsure/Unknown (red),False,other,False,1450.9,,0.414
TOI-125 c,Approved - Unsure/Unknown (red),False,other,False,822.5,,0.605
TOI-178 d,No NIRISS - NIRSpec/NIRCam Only (orange),False,flat,True,676.3,,1.415
TOI-1468 c,No NIRISS - NIRSpec/NIRCam Only (orange),False,flat,True,337.8,,0.57
LTT 3780 c,No NIRISS - NIRSpec/NIRCam Only (orange),False,flat,True,358.8,,0.632
TOI-1231 b,No NIRISS - NIRSpec/NIRCam Only (orange),False,clear,True,326.7,,1.224
LP 791-18 c,No NIRISS - NIRSpec/NIRCam Only (orange),False,clear,True,343.9,,1.021
TOI-836 b,No NIRISS - NIRSpec/NIRCam Only (orange),True,flat,True,872.2,,0.653
TOI-776 b,No NIRISS - NIRSpec/NIRCam Only (orange),True,flat,True,514.7,,0.559
TOI-776 c,No NIRISS - NIRSpec/NIRCam Only (orange),True,flat,True,415.6,,0.557
GJ 1214 b,No NIRISS - NIRSpec/NIRCam Only (orange),True,flat,True,549.1,,3.132
TOI-836 c,No NIRISS - NIRSpec/NIRCam Only (orange),True,flat,True,654.2,,0.998
GJ 3470 b,No NIRISS - NIRSpec/NIRCam Only (orange),True,clear,True,651.3,,2.486
