hostname_nn,letter_nn,Event,ProposalCategory,ProposalID,Cycle,Observation,Status,ObservingMode,GratingGrism,Subarray,ReadoutPattern,Groups,StartTime,EndTime,Hours,LastName,ProprietaryPeriod,EquatorialCoordinates,sy_kmag,sy_dist,st_teff,st_mass,st_rad,st_logg,pl_orbper,pl_orbsmax,pl_orbincl,pl_massj,pl_radj,pl_g_SI,pl_dens_cgs,pl_Teq_K,pl_trandep,pl_trandur,pl_TSM_K,pl_ESM_3um,PlanWindow,st_met,spectrum,published,nasa_pl_name,pl_name,default_flag,hostname,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_dens,pl_denserr1,pl_denserr2,pl_eqt,pl_letter,pl_orbper_y,pl_orbsmax_y,pl_rade,pl_radeerr1,pl_radeerr2,pl_trandur_y,rowupdate,st_rad_y,st_teff_y,sy_dist_y,sy_jmag,sy_kmag_y,target_id
LTT 9779,b,PhaseC,GTO,1201,1,2,Executed,SOSS,X,SUBSTRIP256,NISRAPID,2,44749.01,44749.98,26.51,Lafreniere,12,23 54 40.5304 -37 37 41.61,8.016,80.44,5443.0,1.02,0.949,4.386,0.7920642,0.017,76.39,0.092,0.421,14.75,1.87,1973.2,0.1,0.5,184.25,33.89,X,0.27,,,LTT 9779 b,LTT 9779 b,1.0,LTT 9779,29.32,0.78,-0.81,1.536,0.123,-0.123,1978.0,b,0.792052,0.01679,4.72,0.23,-0.23,0.466,17/9/2020,0.949,5443.0,80.4373,8.446,8.016,LTT 9779b
GJ 3470,b,Transit,GTO,1185,1,16,Executed,GTS,GRISMR+F322W2,SUBGRISM256,BRIGHT2,4,44865.57,44865.86,7.49,Greene,12,07 59 5.6405 +15 23 28.35,7.989,29.42,3600.0,0.524,0.5,4.738,3.3366496,0.036,88.88,0.044,0.37,9.05,1.31,651.3,0.6,1.9,353.73,1.9,X,0.2,clear,yes,GJ 3470 b,GJ 3470 b,1.0,GJ 3470,13.9,1.5,-1.5,0.8,0.13,-0.13,593.5,b,3.3366496,0.0355,4.57,0.18,-0.18,1.8580034,28/1/2019,0.547,3600.0,29.4214,8.794,7.989,GJ 3470b
GJ 3470,b,Transit,GTO,1185,1,17,Executed,GTS,GRISMR+F444W,SUBGRISM256,BRIGHT2,7,44868.9,44869.19,7.49,Greene,12,07 59 5.6405 +15 23 28.35,7.989,29.42,3600.0,0.524,0.5,4.738,3.3366496,0.036,88.88,0.044,0.37,9.05,1.31,651.3,0.6,1.9,353.73,1.9,X,0.2,,,GJ 3470 b,GJ 3470 b,1.0,GJ 3470,13.9,1.5,-1.5,0.8,0.13,-0.13,593.5,b,3.3366496,0.0355,4.57,0.18,-0.18,1.8580034,28/1/2019,0.547,3600.0,29.4214,8.794,7.989,GJ 3470b
K2-18,b,Transit,GO,2722,1,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,12,44946.78,44947.05,7.16,Madhusudhan,12,11 30 14.4311 +07 35 16.13,8.899,38.03,3457.0,0.413,0.411,4.786,32.9398375,0.146,89.58,0.027,0.203,18.6,4.89,279.6,0.3,2.7,38.9,0.0,X,0.12,,,K2-18 b,K2-18 b,1.0,K2-18,8.92,1.7,-1.6,4.11,1.72,-1.18,284.0,b,32.939623,0.1429,2.37,0.22,-0.22,2.3059589,18/3/2019,0.411,3457.0,38.0266,9.763,8.899,K2-18b
TOI-836,c,Transit,GO,2512,1,8,Executed,BOTS,G395H,SUB2048,NRSRAPID,3,44973.5,44973.83,8.91,Batalha,0,15 00 19.1712 -24 27 15.11,6.804,27.5,4514.0,0.678,0.678,4.662,8.5954646,0.075,88.7,0.03,0.233,15.75,3.61,654.2,0.1,2.5,119.0,0.49,X,-0.28,flat,yes,TOI-836 c,TOI-836 c,1.0,TOI-836,9.6,2.7,-2.5,3.06,0.48,-0.54,665.0,c,8.59545,0.075,2.587,0.088,-0.088,2.486,25/2/2023,0.665,4552.0,27.5024,7.58,6.804,TOI-836c
TOI-836,b,Transit,GO,2512,1,9,Executed,BOTS,G395H,SUB2048,NRSRAPID,3,44989.7,44989.98,7.16,Batalha,0,15 00 19.1712 -24 27 15.11,6.804,27.5,4514.0,0.678,0.678,4.662,3.8167281,0.042,87.57,0.014,0.152,17.6,6.21,872.2,0.1,1.7,92.23,1.11,X,-0.28,flat,yes,TOI-836 b,TOI-836 b,1.0,TOI-836,4.53,0.92,-0.86,5.02,0.36,-0.44,871.0,b,3.81673,0.0422,1.704,0.067,-0.067,1.805,25/2/2023,0.665,4552.0,27.5024,7.58,6.804,TOI-836b
TOI-836,b,Transit,GO,2512,1,10,Executed,BOTS,G395H,SUB2048,NRSRAPID,3,44993.52,44993.79,7.16,Batalha,0,15 00 19.1712 -24 27 15.11,6.804,27.5,4514.0,0.678,0.678,4.662,3.8167281,0.042,87.57,0.014,0.152,17.6,6.21,872.2,0.1,1.7,92.23,1.11,X,-0.28,,,TOI-836 b,TOI-836 b,1.0,TOI-836,4.53,0.92,-0.86,5.02,0.36,-0.44,871.0,b,3.81673,0.0422,1.704,0.067,-0.067,1.805,25/2/2023,0.665,4552.0,27.5024,7.58,6.804,TOI-836b
K2-18,b,Transit,GO,2372,1,3,Failed,BOTS,G395H,SUB2048,NRSRAPID,16,45045.53,45045.55,11.35,Hu,12,11 30 14.4338 +07 35 16.19,8.899,38.03,3457.0,0.413,0.411,4.786,32.9398375,0.146,89.58,0.027,0.203,18.6,4.89,279.6,0.3,2.7,38.9,0.0,X,0.12,,,K2-18 b,K2-18 b,1.0,K2-18,8.92,1.7,-1.6,4.11,1.72,-1.18,284.0,b,32.939623,0.1429,2.37,0.22,-0.22,2.3059589,18/3/2019,0.411,3457.0,38.0266,9.763,8.899,K2-18b
TOI-776,c,Transit,GO,2512,1,3,Executed,BOTS,G395H,SUB2048,NRSRAPID,7,45057.79,45058.14,9.55,Batalha,0,11 54 18.7193 -37 33 12.08,7.615,27.17,3717.0,0.544,0.538,4.731,15.6653276,0.1,89.51,0.019,0.183,16.31,4.78,415.6,0.1,3.0,62.4,0.01,X,-0.2,flat,yes,TOI-776 c,TOI-776 c,1.0,TOI-776,6.9,2.6,-2.5,4.4,1.8,-1.6,420.0,c,15.665323,0.1001,2.047,0.081,-0.078,2.932,10/6/2024,0.547,3725.0,27.1701,8.483,7.615,TOI-776c
TOI-776,b,Transit,GO,2512,1,6,Executed,BOTS,G395H,SUB2048,NRSRAPID,7,45070.07,45070.4,8.74,Batalha,0,11 54 18.7193 -37 33 12.08,7.615,27.17,3717.0,0.544,0.538,4.731,8.2466166,0.065,89.65,0.014,0.16,15.6,5.2,514.7,0.1,2.4,70.97,0.06,X,-0.2,flat,yes,TOI-776 b,TOI-776 b,1.0,TOI-776,5.0,1.6,-1.6,4.8,1.8,-1.6,520.0,b,8.24662,0.0653,1.798,0.078,-0.077,2.382,10/6/2024,0.547,3725.0,27.1701,8.483,7.615,TOI-776b
