star,trans,snr,radius,scale_temp,kmag,nasa_pl_name,pl_name,hostname,pl_letter,pl_rade,pl_radeerr1,pl_radeerr2,pl_orbper,pl_eqt,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_orbsmax,pl_dens,pl_denserr1,pl_denserr2,st_teff,st_rad,sy_dist,default_flag
GJ_1214,10.2,10.8,2.731,566,8.8,GJ 1214 b,GJ 1214 b,GJ 1214,b,2.733,0.033,-0.031,1.580404531,567,8.41,0.36,-0.35,0.01505,2.26,0.11,-0.11,3101,0.2162,14.6427,1
GJ_0436,2.89,10.6,4.099,633,6.1,GJ 436 b,GJ 436 b,GJ 436,b,4.17,0.168,-0.168,2.64388312,,22.1,2.3,-2.3,0.0291,1.8,0.29,-0.29,,0.455,9.75321,1
pi_Men_c,0.8,6.9,2.144,1203,4.2,pi Men c,pi Men c,HD 39091,c,2.11,0.05,-0.05,6.267852,,4.3,0.7,-0.7,0.068,2.8,0.5,-0.5,5998,1.17,18.2702,1
GJ_3470,4.3,6.5,3.875,655,8,GJ 3470 b,GJ 3470 b,GJ 3470,b,4.57,0.18,-0.18,3.3366496,593.5,13.9,1.5,-1.5,0.0355,0.8,0.13,-0.13,3600,0.547,29.4214,1
55_Cnc_e,0.66,6.3,1.895,1960,4,55 Cnc e,55 Cnc e,55 Cnc,e,1.875,0.029,-0.029,0.7365474,,7.99,0.32,-0.33,0.01544,6.66,0.43,-0.4,5172,0.943,12.5855,1
GJ_3090,2.76,5.8,2.162,691,7.3,GJ 3090 b,GJ 3090 b,GJ 3090,b,2.13,0.11,-0.11,2.8531054,693,3.34,0.72,-0.72,0.03165,1.89,0.52,-0.45,3556,0.516,22.4751,1
HD_191939d,2.06,4.5,2.993,550,7.2,HD 191939 d,HD 191939 d,HD 191939,d,2.995,0.07,-0.07,38.353037,540,2.8,0.6,-0.6,0.2132,0.57,0.13,-0.13,5348,0.94,53.6089,1
TOI-544,2.68,4.4,2.016,1058,7.8,TOI-544 b,TOI-544 b,TOI-544,b,2.018,0.076,-0.076,1.548352,999,2.89,0.48,-0.48,0.0225,1.93,0.3,-0.25,4169,0.623,41.1166,1
HR_858b,0.77,4.3,2.003,1554,5.2,HR 858 b,HR 858 b,HR 858,b,2.004,0.045,-0.047,3.585287,1552,3.55,0.94,-0.96,0.04888,2.44,0.69,-0.68,6354,1.258,31.964,1
TOI-431d,1.5,4.1,3.293,638,6.7,TOI-431 d,TOI-431 d,TOI-431,d,3.29,0.09,-0.09,12.46103,633,9.9,1.53,-1.49,0.098,1.36,0.25,-0.25,4850,0.731,32.5686,1
