star,trans,snr,radius,scale_temp,kmag,nasa_pl_name,pl_name,default_flag,hostname,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_dens,pl_denserr1,pl_denserr2,pl_eqt,pl_letter,pl_orbper,pl_orbsmax,pl_rade,pl_radeerr1,pl_radeerr2,pl_trandur,rowupdate,st_rad,st_teff,sy_dist,sy_jmag,sy_kmag
GJ_1214,10.2,10.8,2.731,566,8.8,GJ 1214 b,GJ 1214 b,1.0,GJ 1214,8.41,0.36,-0.35,2.26,0.11,-0.11,567.0,b,1.580404531,0.01505,2.733,0.033,-0.031,0.86966,2024-03-25,0.2162,3101.0,14.6427,9.75,8.782
GJ_0436,2.89,10.6,4.099,633,6.1,GJ 436 b,GJ 436 b,1.0,GJ 436,22.1,2.3,-2.3,1.8,0.29,-0.29,594.05,b,2.64388312,0.0291,4.17,0.168,-0.168,0.9689289,2015-02-05,0.455,3350.0,9.75321,6.9,6.073
pi_Men_c,0.8,6.9,2.144,1203,4.2,pi Men c,pi Men c,1.0,HD 39091,4.3,0.7,-0.7,2.8,0.5,-0.5,1052.0,c,6.267852,0.068,2.11,0.05,-0.05,2.789,2025-03-03,1.17,5998.0,18.2702,4.869,4.241
GJ_3470,4.3,6.5,3.875,655,8.0,GJ 3470 b,GJ 3470 b,1.0,GJ 3470,13.9,1.5,-1.5,0.8,0.13,-0.13,593.5,b,3.3366496,0.0355,4.57,0.18,-0.18,1.8580034,2019-01-28,0.547,3600.0,29.4214,8.794,7.989
55_Cnc_e,0.66,6.3,1.895,1960,4.0,55 Cnc e,55 Cnc e,1.0,55 Cnc,7.99,0.32,-0.33,6.66,0.43,-0.4,1831.27,e,0.7365474,0.01544,1.875,0.029,-0.029,1.5439,2021-02-05,0.943,5172.0,12.5855,4.768,4.015
GJ_3090,2.76,5.8,2.162,691,7.3,GJ 3090 b,GJ 3090 b,1.0,GJ 3090,3.34,0.72,-0.72,1.89,0.52,-0.45,693.0,b,2.8531054,0.03165,2.13,0.11,-0.11,1.281,2023-11-28,0.516,3556.0,22.4751,8.168,7.294
HD_191939d,2.06,4.5,2.993,550,7.2,HD 191939 d,HD 191939 d,1.0,HD 191939,2.8,0.6,-0.6,0.57,0.13,-0.13,540.0,d,38.353037,0.2132,2.995,0.07,-0.07,5.36,2022-11-14,0.94,5348.0,53.6089,7.597,7.18
TOI-544,2.68,4.4,2.016,1058,7.8,TOI-544 b,TOI-544 b,1.0,TOI-544,2.89,0.48,-0.48,1.93,0.3,-0.25,999.0,b,1.548352,0.0225,2.018,0.076,-0.076,1.21,2023-12-18,0.623,4169.0,41.1166,8.592,7.8
HR_858b,0.77,4.3,2.003,1554,5.2,HR 858 b,HR 858 b,1.0,HR 858,3.55,0.94,-0.96,2.44,0.69,-0.68,1552.0,b,3.585287,0.04888,2.004,0.045,-0.047,2.705,2025-03-03,1.258,6354.0,31.964,5.473,5.149
TOI-431d,1.5,4.1,3.293,638,6.7,TOI-431 d,TOI-431 d,1.0,TOI-431,9.9,1.53,-1.49,1.36,0.25,-0.25,633.0,d,12.46103,0.098,3.29,0.09,-0.09,3.3195777,2021-08-16,0.731,4850.0,32.5686,7.305,6.723
